Date;Survey;Borough;Measure;Proportion;MPS
31/03/2019;PAS;Sutton;Trust MPS;0,85;0,84
31/03/2019;PAS;Tower Hamlets;Trust MPS;0,81;0,84
31/03/2019;PAS;Waltham Forest;Trust MPS;0,79;0,84
31/03/2019;PAS;Wandsworth;Trust MPS;0,85;0,84
31/03/2019;PAS;City of Westminster;Trust MPS;0,89;0,84
30/06/2019;PAS;Barking and Dagenham;Trust MPS;0,82;0,83
30/06/2019;PAS;Barnet;Trust MPS;0,9;0,83
30/06/2019;PAS;Bexley;Trust MPS;0,84;0,83
30/06/2019;PAS;Brent;Trust MPS;0,83;0,83
30/06/2019;PAS;Bromley;Trust MPS;0,88;0,83
30/06/2019;PAS;Camden;Trust MPS;0,81;0,83
30/06/2019;PAS;Croydon;Trust MPS;0,8;0,83
30/06/2019;PAS;Ealing;Trust MPS;0,87;0,83
30/06/2019;PAS;Enfield;Trust MPS;0,76;0,83
30/06/2019;PAS;Greenwich;Trust MPS;0,81;0,83
30/06/2019;PAS;Hackney;Trust MPS;0,74;0,83
30/06/2019;PAS;Hammersmith and Fulham;Trust MPS;0,85;0,83
30/06/2019;PAS;Haringey;Trust MPS;0,76;0,83
30/06/2019;PAS;Harrow;Trust MPS;0,82;0,83
30/06/2019;PAS;Havering;Trust MPS;0,82;0,83
30/06/2019;PAS;Hillingdon;Trust MPS;0,83;0,83
30/06/2019;PAS;Hounslow;Trust MPS;0,87;0,83
30/06/2019;PAS;Islington;Trust MPS;0,81;0,83
30/06/2019;PAS;Kensington and Chelsea;Trust MPS;0,91;0,83
30/06/2019;PAS;Kingston upon Thames;Trust MPS;0,84;0,83
30/06/2019;PAS;Lambeth;Trust MPS;0,83;0,83
30/06/2019;PAS;Lewisham;Trust MPS;0,81;0,83
30/06/2019;PAS;Merton;Trust MPS;0,88;0,83
30/06/2019;PAS;Newham;Trust MPS;0,87;0,83
30/06/2019;PAS;Redbridge;Trust MPS;0,85;0,83
30/06/2019;PAS;Richmond upon Thames;Trust MPS;0,91;0,83
30/06/2019;PAS;Southwark;Trust MPS;0,8;0,83
30/06/2019;PAS;Sutton;Trust MPS;0,84;0,83
30/06/2019;PAS;Tower Hamlets;Trust MPS;0,82;0,83
30/06/2019;PAS;Waltham Forest;Trust MPS;0,8;0,83
30/06/2019;PAS;Wandsworth;Trust MPS;0,84;0,83
30/06/2019;PAS;City of Westminster;Trust MPS;0,86;0,83
30/09/2019;PAS;Barking and Dagenham;Trust MPS;0,84;0,84
30/09/2019;PAS;Barnet;Trust MPS;0,89;0,84
30/09/2019;PAS;Bexley;Trust MPS;0,83;0,84
30/09/2019;PAS;Brent;Trust MPS;0,88;0,84
30/09/2019;PAS;Bromley;Trust MPS;0,89;0,84
30/09/2019;PAS;Camden;Trust MPS;0,82;0,84
30/09/2019;PAS;Croydon;Trust MPS;0,84;0,84
30/09/2019;PAS;Ealing;Trust MPS;0,88;0,84
30/09/2019;PAS;Enfield;Trust MPS;0,76;0,84
30/09/2019;PAS;Greenwich;Trust MPS;0,81;0,84
30/09/2019;PAS;Hackney;Trust MPS;0,73;0,84
30/09/2019;PAS;Hammersmith and Fulham;Trust MPS;0,84;0,84
30/09/2019;PAS;Haringey;Trust MPS;0,77;0,84
30/09/2019;PAS;Harrow;Trust MPS;0,86;0,84
30/09/2019;PAS;Havering;Trust MPS;0,83;0,84
30/09/2019;PAS;Hillingdon;Trust MPS;0,86;0,84
30/09/2019;PAS;Hounslow;Trust MPS;0,88;0,84
30/09/2019;PAS;Islington;Trust MPS;0,79;0,84
30/09/2019;PAS;Kensington and Chelsea;Trust MPS;0,9;0,84
30/09/2019;PAS;Kingston upon Thames;Trust MPS;0,85;0,84
30/09/2019;PAS;Lambeth;Trust MPS;0,82;0,84
30/09/2019;PAS;Lewisham;Trust MPS;0,8;0,84
30/09/2019;PAS;Merton;Trust MPS;0,89;0,84
30/09/2019;PAS;Newham;Trust MPS;0,87;0,84
30/09/2019;PAS;Redbridge;Trust MPS;0,87;0,84
30/09/2019;PAS;Richmond upon Thames;Trust MPS;0,9;0,84
30/09/2019;PAS;Southwark;Trust MPS;0,82;0,84
30/09/2019;PAS;Sutton;Trust MPS;0,83;0,84
30/09/2019;PAS;Tower Hamlets;Trust MPS;0,83;0,84
30/09/2019;PAS;Waltham Forest;Trust MPS;0,8;0,84
30/09/2019;PAS;Wandsworth;Trust MPS;0,83;0,84
30/09/2019;PAS;City of Westminster;Trust MPS;0,87;0,84
31/12/2019;PAS;Barking and Dagenham;Trust MPS;0,84;0,84
31/12/2019;PAS;Barnet;Trust MPS;0,9;0,84
31/12/2019;PAS;Bexley;Trust MPS;0,85;0,84
31/12/2019;PAS;Brent;Trust MPS;0,89;0,84
31/12/2019;PAS;Bromley;Trust MPS;0,88;0,84
31/12/2019;PAS;Camden;Trust MPS;0,83;0,84
31/12/2019;PAS;Croydon;Trust MPS;0,84;0,84
31/12/2019;PAS;Ealing;Trust MPS;0,91;0,84
31/12/2019;PAS;Enfield;Trust MPS;0,76;0,84
31/12/2019;PAS;Greenwich;Trust MPS;0,8;0,84
31/12/2019;PAS;Hackney;Trust MPS;0,75;0,84
31/12/2019;PAS;Hammersmith and Fulham;Trust MPS;0,85;0,84
31/12/2019;PAS;Haringey;Trust MPS;0,74;0,84
31/12/2019;PAS;Harrow;Trust MPS;0,87;0,84
31/12/2019;PAS;Havering;Trust MPS;0,85;0,84
31/12/2019;PAS;Hillingdon;Trust MPS;0,86;0,84
31/12/2019;PAS;Hounslow;Trust MPS;0,86;0,84
31/12/2019;PAS;Islington;Trust MPS;0,76;0,84
31/12/2019;PAS;Kensington and Chelsea;Trust MPS;0,92;0,84
31/12/2019;PAS;Kingston upon Thames;Trust MPS;0,85;0,84
31/12/2019;PAS;Lambeth;Trust MPS;0,8;0,84
31/12/2019;PAS;Lewisham;Trust MPS;0,8;0,84
31/12/2019;PAS;Merton;Trust MPS;0,88;0,84
31/12/2019;PAS;Newham;Trust MPS;0,83;0,84
31/12/2019;PAS;Redbridge;Trust MPS;0,86;0,84
31/12/2019;PAS;Richmond upon Thames;Trust MPS;0,86;0,84
31/12/2019;PAS;Southwark;Trust MPS;0,85;0,84
